kind,old_code,new_code,source_name,target_name,source_unit,target_unit,manual_rule
Material,1110527,4035303,硬木扶手（直形）60×60,成品硬木扶手,m,m,L列指定电算代号
Material,2550481,4035347,钢管扶手Φ50,不锈钢扶手 φ50,m,m,1=使用best_candidate
Material,2550521,4026649,矿棉吸音板,矿棉吸声板,m2,m2,1=使用best_candidate
Material,1252110,4039131,石膏板,石膏板 12 普通,m2,m2,1=使用best_candidate
Material,1110521,1142719,灰板条,灰板条 1000×30×8,百根,百根,1=使用best_candidate
Material,2550138,4034291,钢骨架 厂库房大门用,钢骨架,kg,kg,1=使用best_candidate
Material,2550685,4016439,彩板卷帘门,不锈钢卷帘门,m2,m2,L列指定电算代号
Material,2550672,4018215,平移门自动感应装置,滑轨门自动感应装置,套,套,1=使用best_candidate
Material,2550673,4018215,圆弧门自动感应装置,滑轨门自动感应装置,套,套,1=使用best_candidate
Material,2550690,4016735,钢质防火门（成品）,钢质防火门,m2,m2,1=使用best_candidate
Material,1300261,1122575,釉面砖0.015m2以外,釉面砖 ＞150×100,m2,m2,L列指定电算代号
Material,1710079,1015071,不锈钢方通18×18,不锈钢方通 18×18×1.5,m,m,1=使用best_candidate
Machine,9102622,9102652,单筒快速卷扬机 ≤20kN,单筒快速卷扬机 ≤20kN/100m,台班,台班,1=使用best_candidate
Material,3391035,1028801,橡胶条 小,橡胶密封条,m,m,1=使用best_candidate
Material,2550740,4036337,镜面不锈钢装饰条30以外,镜面不锈钢装饰条 ≤30,m,m,1=使用best_candidate
Material,3320127,1225209,橡胶圈 配聚氯乙烯双壁波纹管 D300,排水用聚氯乙烯双壁波纹管 D300,个,m,1=使用best_candidate
Machine,9100004,9100014,履带式液压单斗挖掘机 ≤1.4m3,履带式液压单斗挖掘机 ≤1.4m³,台班,台班,1=使用best_candidate
Machine,9100502,9100402,轮胎式装载机 ≤1.5m3,轮胎式装载机 ≤1.5m³,台班,台班,1=使用best_candidate
Machine,9100804,9112304,轴流通风机 ≤40kW-480m3/min,轴流通风机 ≤40kW-480m³/min,台班,台班,1=使用best_candidate
Machine,9102011,9102001,"爬升式塔式起重机 ≤50m×1.2/3t,h=40m","塔式起重机 ≤50m×3t,h≤40m",台班,台班,1=使用best_candidate
Machine,9102642,9102702,单笼升降机 12人-1t ≤100m,单笼升降机 1t ≤100m,台班,台班,1=使用best_candidate
Machine,9104121,9104103,混凝土湿喷机 ≤7m3/h,混凝土湿喷机 ≤7m³/h,台班,台班,1=使用best_candidate
Machine,9105245,9105245,搅拌成桩机组（三轴）,浆液喷射搅拌成桩机组（三轴）,台班,台班,1=使用best_candidate
Machine,9105329,9105351,多级离心清水泵 ≤155m3/h-150m,多级离心清水泵 ≤155m³/h-150m,台班,台班,1=使用best_candidate
Machine,9105341,9105371,污水泵 ≤90m3/h-26m,污水泵 ≤90m³/h-26m,台班,台班,1=使用best_candidate
Machine,9105343,9105373,污水泵 ≤160m3/h-26m,污水泵 ≤160m³/h-26m,台班,台班,1=使用best_candidate
Machine,9105353,9105382,离心式泥浆泵 ≤108m3/h-21m,离心式泥浆泵 ≤108m³/h-21m,台班,台班,1=使用best_candidate
Material,1300260,1122377,釉面砖0.015m2以内,釉面砖 ≤150×100,m2,m2,L列指定电算代号
Material,2031123,1014369,彩钢压型板 δ=0.6 900型,彩钢压型板 900型 δ=0.6,m2,m2,1=使用best_candidate
Machine,9108213,9107213,剪板机 ≤13×3000,剪板机 ≤13×3200,台班,台班,1=使用best_candidate
Material,2031001,1013953,不锈钢板 δ≤8,不锈钢板,kg,kg,1=使用best_candidate
Material,2031122,1014343,彩钢压型板 δ=0.6 840型,彩钢压型板 840型 δ=0.6,m2,m2,1=使用best_candidate
Machine,9102621,9102651,单筒快速卷扬机 ≤10kN,单筒快速卷扬机 ≤10kN/50m,台班,台班,1=使用best_candidate
Material,3330030,1025369,耐热胶垫 2×38,耐热胶垫 38×2,m,m,1=使用best_candidate
Material,2700216,3013601,钢轨 60kg 25m U75v （160km/h及以下）,钢轨 60kg 25m U75V (200km/h以下),根,根,1=使用best_candidate
Material,2700218,3013241,钢轨 60kg 100m U71Mn(350km/h),钢轨 60kg 100m U71Mn (200km/h以下),根,根,1=使用best_candidate
Machine,9109933,9120275,全站仪 1mm+1ppm/＜0.5秒,全站仪 1mm+1×10⁻⁶测距/<0.5″,台班,台班,1=使用best_candidate
Material,2700224,3013961,钢轨 60kg 100m U75V(160km/h),钢轨 60kg 100m U75V (200km/h以下),根,根,1=使用best_candidate
Material,2766020,3044577,60kg WJ-2型弹条扣配件(橡胶垫板),WJ-2型弹条扣配件(橡胶垫板) 60kg,组,组,1=使用best_candidate
Machine,9102301,9102302,门式起重机 ≤5t-22m,"门式起重机 ≤5t-22m,h≤7.5m",台班,台班,1=使用best_candidate
Material,2700225,3015941,钢轨 75kg 100m U75V(160km/h),钢轨 75kg 100m U75V,根,根,1=使用best_candidate
Material,2700016,3010541,6m有孔短轨,有孔短轨 6m,根,根,1=使用best_candidate
Material,2700401,3019001,60kg25m U71Mn 工具轨,工具轨 60kg 25m U71Mn,根,根,1=使用best_candidate
Machine,9102311,9102309,门式起重机 ≤75t-36m,"门式起重机 ≤75t-36m,h≤18m",台班,台班,1=使用best_candidate
Material,2700214,3012881,钢轨 60kg 25m U71Mn （160km/h及以下）,钢轨 60kg 25m U71Mn (200km/h以下),根,根,1=使用best_candidate
Material,2714111,3040469,防爬支撑(混凝土),混凝土防爬支撑,个,个,L列指定电算代号
Material,2766550,3048997,坩埚(铝热焊用）,坩埚,个,个,1=使用best_candidate
Material,2766551,3049049,封箱泥(铝热焊用）,封箱泥,kg,kg,1=使用best_candidate
Material,2766552,3049101,密封膏(铝热焊用）,密封膏,支,支,1=使用best_candidate
Material,2766553,3049153,预热装置及支架(铝热焊用）,预热装置及支架,套,套,1=使用best_candidate
Material,3005017,3048945,引燃助剂(铝热焊用）,引燃助剂,根,根,1=使用best_candidate
Material,2720227,3021041,单开道岔 60kg 12号 92改进型SC330,单开道岔 60kg 12号 92改进型 SC（07）330,组,组,1=使用best_candidate
Material,2741402,3033521,混凝土岔枕 60kg12号单开,混凝土岔枕 60kg 12号 单开道岔,组,组,1=使用best_candidate
