kind,old_code,new_code,source_name,target_name,source_unit,target_unit,manual_rule
Material,3372155,1226345,聚乙烯给水管（PE）de63,聚乙烯给水管件 De63,m,个,1=使用best_candidate
Machine,9102633,9102683,双筒慢速卷扬机 ≤50kN,双筒慢速卷扬机 ≤50kN/340m,台班,台班,1=使用best_candidate
Material,3320125,1021497,橡胶圈 配聚氯乙烯双壁波纹管 D225,塑料管接口橡胶圈 De225,个,个,L列指定电算代号
Material,3320126,1021585,橡胶圈 配聚氯乙烯双壁波纹管 D250,塑料管接口橡胶圈 De250,个,个,L列指定电算代号
Material,3320128,1021761,橡胶圈 配聚氯乙烯双壁波纹管 D400,塑料管接口橡胶圈 De400,个,个,L列指定电算代号
Material,3320129,1021849,橡胶圈 配聚氯乙烯双壁波纹管 D500,塑料管接口橡胶圈 De500,个,个,L列指定电算代号
Material,3320130,1021937,橡胶圈 配聚氯乙烯双壁波纹管 D600,塑料管接口橡胶圈 De600,个,个,L列指定电算代号
Material,3320131,1022025,橡胶圈 配聚氯乙烯双壁波纹管 D700,塑料管接口橡胶圈 De700,个,个,L列指定电算代号
Material,3320132,1022113,橡胶圈 配聚氯乙烯双壁波纹管 D800,塑料管接口橡胶圈 De800,个,个,L列指定电算代号
Material,3320133,1022201,橡胶圈 配聚氯乙烯双壁波纹管 D900,塑料管接口橡胶圈 De900,个,个,L列指定电算代号
Material,3320134,1022289,橡胶圈 配聚氯乙烯双壁波纹管 D1000,塑料管接口橡胶圈 De1000,个,个,L列指定电算代号
Machine,9105302,9105322,单级离心清水泵 ≤12.5m3/h-32m,单级离心清水泵 ≤12.5m³/h-32m,台班,台班,1=使用best_candidate
Material,1800304,1200136,石棉 手选 特6级,石棉 机选 5～6级,kg,kg,L列指定电算代号
Material,2300017,1220721,铸铁承插直管 DN300×5000,铸铁承插直管 DN300,m,m,1=使用best_candidate
Material,2300022,1220737,铸铁承插直管 DN400×5000,铸铁承插直管 DN400,m,m,1=使用best_candidate
Material,2300012,1220689,铸铁承插直管 DN100×4000,铸铁承插直管 DN100,m,m,1=使用best_candidate
Material,2300020,1220753,铸铁承插直管 DN500×5000,铸铁承插直管 DN500,m,m,1=使用best_candidate
Material,2300013,1220697,铸铁承插直管 DN150×4000,铸铁承插直管 DN150,m,m,1=使用best_candidate
Material,3410011,1040401,土工织物(土工布)300g/m2,土工布 300g/m2,m2,m2,1=使用best_candidate
Material,3613125,1069651,解藕装置,解耦装置,m,m,1=使用best_candidate
Material,5322054,1013225,声屏障H形钢立柱,声屏障H型钢立柱 Q235B,t,t,1=使用best_candidate
Machine,9103306,9103305,混凝土搅拌输送车 ≤10m3,混凝土搅拌输送车 ≤10m³,台班,台班,1=使用best_candidate
Material,2031133,4022217,通透单元板 1960×1000×20（桥金属-8323A）,通透单元板 1960×1000×140,m2,m2,1=使用best_candidate
Material,2031136,4025541,复合吸声板 3960×140×500,铝合金复合吸声板 δ=140,m2,m2,L列指定电算代号
Material,2031137,4025541,复合吸声板 3960×140×450,铝合金复合吸声板 δ=140,m2,m2,L列指定电算代号
Material,2031129,4021663,金属声屏障单元板 1960×450×140,金属声屏障单元板 1960×500×140,m2,m2,1=使用best_candidate
Material,2300411,1220913,柔性接口球墨铸铁承插直管 DN100×5000,柔性接口球墨铸铁承插直管 DN100,m,m,1=使用best_candidate
Material,2330201,1222353,球墨铸铁管件,铸铁管零件,kg,kg,1=使用best_candidate
Material,2300401,1220921,柔性接口球墨铸铁直管 DN150×5000,柔性接口球墨铸铁承插直管 DN150,m,m,1=使用best_candidate
Material,2300402,1220929,柔性接口球墨铸铁直管 DN200×5000,柔性接口球墨铸铁承插直管 DN200,m,m,1=使用best_candidate
Material,2300403,1220937,柔性接口球墨铸铁直管 DN250×5000,柔性接口球墨铸铁承插直管 DN250,m,m,1=使用best_candidate
Material,2300412,1220945,柔性接口球墨铸铁承插直管 DN300×5000,柔性接口球墨铸铁承插直管 DN300,m,m,1=使用best_candidate
Material,2300413,1220953,柔性接口球墨铸铁承插直管 DN350×5000,柔性接口球墨铸铁承插直管 DN350,m,m,1=使用best_candidate
Material,2300414,1220961,柔性接口球墨铸铁承插直管 DN400×5000,柔性接口球墨铸铁承插直管 DN400,m,m,1=使用best_candidate
Material,2300415,1220969,柔性接口球墨铸铁承插直管 DN450×5000,柔性接口球墨铸铁承插直管 DN450,m,m,1=使用best_candidate
Material,2300416,1220977,柔性接口球墨铸铁承插直管 DN500×6000,柔性接口球墨铸铁承插直管 DN500,m,m,1=使用best_candidate
Material,2300417,1220985,柔性接口球墨铸铁承插直管 DN600×6000,柔性接口球墨铸铁承插直管 DN600,m,m,1=使用best_candidate
Material,3372251,1224361,聚乙烯给水管（PE） 1.0MPa   de110,聚乙烯给水管 1.0MPa De110,m,m,1=使用best_candidate
Material,3372510,1225273,HDPE双壁波纹管 SN8 DN/ID225,HDPE增强中空壁缠绕管 SN8 DN/ID225,m,m,1=使用best_candidate
Material,3372511,1225281,HDPE双壁波纹管 SN8 DN/ID300,HDPE增强中空壁缠绕管 SN8 DN/ID300,m,m,1=使用best_candidate
Material,3372512,1225289,HDPE双壁波纹管 SN8 DN/ID400,HDPE增强中空壁缠绕管 SN8 DN/ID400,m,m,1=使用best_candidate
Material,3372513,1225297,HDPE双壁波纹管 SN8 DN/ID500,HDPE增强中空壁缠绕管 SN8 DN/ID500,m,m,1=使用best_candidate
Material,3372514,1225305,HDPE双壁波纹管 SN8 DN/ID600,HDPE增强中空壁缠绕管 SN8 DN/ID600,m,m,1=使用best_candidate
Material,3372515,1225313,HDPE双壁波纹管 SN8 DN/ID700,HDPE增强中空壁缠绕管 SN8 DN/ID700,m,m,1=使用best_candidate
Material,3372516,1225321,HDPE双壁波纹管 SN8 DN/ID800,HDPE增强中空壁缠绕管 SN8 DN/ID800,m,m,1=使用best_candidate
Material,3372517,1225329,HDPE双壁波纹管 SN8 DN/ID900,HDPE增强中空壁缠绕管 SN8 DN/ID900,m,m,1=使用best_candidate
Material,3372518,1225337,HDPE双壁波纹管 SN8 DN/ID1000,HDPE增强中空壁缠绕管 SN8 DN/ID1000,m,m,1=使用best_candidate
Material,3372369,1224457,聚乙烯给水管（PE）1.6MPa de75,聚乙烯给水管 1.6MPa De75,m,m,1=使用best_candidate
Material,3372371,1224465,聚乙烯给水管（PE）1.6MPa de160,聚乙烯给水管 1.6MPa De160,m,m,1=使用best_candidate
Material,3372152,1224249,聚乙烯给水管（PE）de32,聚乙烯给水管 0.6MPa De40,m,m,L列指定电算代号
Material,3372373,1224473,聚乙烯给水管（PE）1.6MPa de225,聚乙烯给水管 1.6MPa De225,m,m,1=使用best_candidate
Material,3372374,1224481,聚乙烯给水管（PE）1.6MPa de250,聚乙烯给水管 1.6MPa De250,m,m,1=使用best_candidate
Material,1240030,1086345,碎石 20以内(高性能混凝土),碎石 ≤20 (圬工用),m3,m3,L列指定电算代号
Material,3330019,1026953,橡胶板 500×500×70,橡胶板 δ=70,m3,m2,L列指定电算代号
Material,3391025,1029241,闭孔乳胶海棉 δ=5,闭孔乳胶海绵 δ=5,kg,kg,1=使用best_candidate
Machine,9101503,9101314,工业燃煤锅炉 ≤4t/h,工业燃油锅炉 ≤4t/h,台班,台班,1=使用best_candidate
Machine,9102308,9102313,门式起重机 ≤80t-36m,"门式起重机 ≤80t-36m,h≤24m",台班,台班,1=使用best_candidate
Machine,9104207,9104206,混凝土泵 ≤60m3/h,混凝土输送泵 ≤60m³/h,台班,台班,1=使用best_candidate
Machine,9105617,9102630,单筒慢速卷扬机 ≤100kN,单筒慢速卷扬机 ≤100kN/350m,台班,台班,1=使用best_candidate
Material,2250001,1220665,金属波纹管（制孔用）,金属波纹管,kg,kg,1=使用best_candidate
Machine,9102306,9102307,门式起重机 ≤50t-40m,"门式起重机 ≤50t-40m,h≤12m",台班,台班,1=使用best_candidate
Machine,9104217,9104127,混凝土输送泵车 ≤85m3/h,混凝土输送泵车 ≤85m³/h,台班,台班,1=使用best_candidate
Machine,9105322,9105342,多级离心清水泵 ≤32m3/h-125m,多级离心清水泵 ≤32m³/h-125m,台班,台班,1=使用best_candidate
Material,3330121,1027921,三元乙丙橡胶板240×15×837,三元乙丙橡胶板 δ=15,㎡,m2,1=使用best_candidate
Material,1240024,1086553,碎石 31.5以内(高性能混凝土),碎石 ≤31.5 (圬工用),m3,m3,L列指定电算代号
Material,3391031,1217105,821BF-E-02橡胶止水带,橡胶止水带 821BF-E-02,m,m,1=使用best_candidate
Material,3220012,1190001,乳胶炸药,乳化炸药,kg,kg,1=使用best_candidate
Machine,9101215,9101153,电动螺杆空气压缩机 ≤20m3/min,电动螺杆式空气压缩机 ≤20m³/min,台班,台班,1=使用best_candidate
Machine,9100812,9112312,轴流通风机 ≤150kW-1250m3/min,轴流通风机 ≤150kW-1250m³/min,台班,台班,1=使用best_candidate
Machine,9101605,9101405,电力变压器 ≤560kVA,电力变压器 ≤500kVA,台班,台班,1=使用best_candidate
Machine,9101604,9101407,电力变压器 ≤320kVA,电力变压器 ≤630kVA,台班,台班,1=使用best_candidate
Machine,9100813,9112313,轴流通风机 ≤220kW-2000m3/min,轴流通风机 ≤220kW-2000m³/min,台班,台班,1=使用best_candidate
Machine,9101606,9101405,电力变压器 ≤750kVA,电力变压器 ≤500kVA,台班,台班,1=使用best_candidate
Machine,9100815,9112314,轴流通风机≤270kW-3000m3/min,轴流通风机 ≤270kW-3000m³/min,台班,台班,1=使用best_candidate
Material,3005007,1174897,"速凝剂(液态,低碱)","速凝剂 (液态,无碱)",t,t,1=使用best_candidate
Machine,9101011,9101011,电动空气压缩机 ≤20m3/min,电动活塞式空气压缩机 ≤20m³/min,台班,台班,1=使用best_candidate
Material,1900017,1010573,圆钢筋 16Mn Φ18以上,光圆钢筋 16Mn φ＞18,kg,kg,1=使用best_candidate
Machine,9103631,9103631,侧卸式矿车 ≤6m3,侧卸式矿车 ≤6m³,台班,台班,1=使用best_candidate
Machine,9100805,9112305,轴流通风机 ≤75kW-800m3/min,轴流通风机 ≤75kW-800m³/min,台班,台班,1=使用best_candidate
Machine,9100731,9112189,轨道式液压立爪装岩机 ≤120m3/h,轨道式液压立爪装岩机 ≤120m³/h,台班,台班,1=使用best_candidate
Machine,9103313,9103313,轨道式混凝土搅拌输送车 ≤6m3,轨道式混凝土搅拌输送车 ≤6m³,台班,台班,1=使用best_candidate
Machine,9103622,9103622,梭式矿车 ≤14m3,梭式矿车 ≤14m³,台班,台班,1=使用best_candidate
Machine,9100000,9100004,履带式液压单斗挖掘机 ≤0.4m3,履带式液压单斗挖掘机 ≤0.4m³,台班,台班,1=使用best_candidate
Machine,9105310,9105330,单级离心清水泵 ≤170m3/h-26m,单级离心清水泵 ≤170m³/h-26m,台班,台班,1=使用best_candidate
Material,3350212,1247269,聚氯乙烯硬管 D80,聚氯乙烯法兰盘 DN80,kg,个,1=使用best_candidate
Material,3372210,1224273,聚乙烯给水管（PE） 0.6MPa   de90,聚乙烯给水管 0.6MPa De90,m,m,1=使用best_candidate
Material,3372211,1224281,聚乙烯给水管（PE） 0.6MPa   de110,聚乙烯给水管 0.6MPa De110,m,m,1=使用best_candidate
Machine,9109715,9120209,"低频电缆测试仪 800Hz±2％,0～110dB","低频电缆测试仪 800Hz×（1±2%）,0～110dB",台班,台班,1=使用best_candidate
Material,1423506,1135185,钢筋混凝土接头槽(带盖板) 槽宽250,钢筋混凝土接头槽 槽宽250,套,个,1=使用best_candidate
Material,7611011,5062841,室内分线盒 NF-1 10对,室内电缆分线盒 10对,只,只,1=使用best_candidate
Material,7611012,5062841,室内分线盒 NF-1 20对,室内电缆分线盒 10对,只,只,1=使用best_candidate
Material,7611013,5062841,室内分线盒 NF-1 30对,室内电缆分线盒 10对,只,只,1=使用best_candidate
Material,7611014,5062841,室内分线盒 NF-1 50对,室内电缆分线盒 10对,只,只,1=使用best_candidate
Material,7611015,5064261,室内分线盒 NF-1 100对,室内电缆分线盒 100对,只,只,1=使用best_candidate
Material,7413013,7044861,三沟绝缘子(带铁卡),蝶形绝缘子,只,只,1=使用best_candidate
Material,7610110,5061421,落地式电缆交接箱 WJD-1 室外300回线,落地式电缆交接箱 300回线,台,台,1=使用best_candidate
Material,7310113,5027745,射频同轴电缆  LCF78-50J,同轴射频电缆 LCF78-50J,m,m,1=使用best_candidate
Material,7310114,5027833,射频同轴电缆  LCF158-50J,同轴射频电缆 LCF158-50J,m,m,1=使用best_candidate
Material,8810106,6054249,1/2英寸超柔跳线,"1/2""超柔跳线",条,条,1=使用best_candidate
Machine,9109615,9120173,天馈线综合测试仪,天馈线测试仪,台班,台班,1=使用best_candidate
Material,7413110,7045401,弯头瓷管(带檐) 10×300,直瓷管 φ15×305,个,个,L列指定电算代号
Material,3360036,1221897,普利卡包塑金属软管 LV4-17#,普利卡包塑金属软管,m,m,1=使用best_candidate
Material,7310116,5028273,900MHz漏泄同轴电缆13/8英寸,漏泄同轴电缆 13/8英寸,m,m,1=使用best_candidate
Material,8800063,6039361,U型卡箍,卡箍,套,个,1=使用best_candidate
Material,8110037,6023191,点灯监测单元（站内）,点灯监测单元（列车）,台,台,1=使用best_candidate
Material,8110038,6023191,点灯监测单元（区间）,点灯监测单元（列车）,台,台,1=使用best_candidate
Material,2260008,1221449,走线管,走线管 φ50 1m,根,根,1=使用best_candidate
Material,8800081,6036877,接近、预告、中继站标志牌（不带基础桩）,接近、预告、中继站标志牌,个,个,1=使用best_candidate
Material,8310023,6044561,电动转辙机安装装置内锁闭  （60kg/m、9、12号、AT轨、1个牵引点）,电动转辙机安装装置内锁闭 （60kg/m、9号、12号、AT轨、1个牵引点）,套,套,1=使用best_candidate
Material,8310022,6044713,电动转辙机安装装置内锁闭 （60kg/m、9、12号、AT轨、2个牵引点）,电动转辙机安装装置内锁闭 （60kg/m、9号、12号、AT轨、2个牵引点）,套,套,1=使用best_candidate
Material,8310019,6044865,电动转辙机安装装置（60kg/m、18号、5个牵引点）,电动转辙机安装装置内锁闭 （60kg/m、18号、5个牵引点）,套,套,1=使用best_candidate
Material,8310116,6045929,道岔外锁闭装置（60kg/m、18、5个牵引点号）,电动转辙机道岔外锁闭装置 （60kg/m、18号、5个牵引点号）,套,组,1=使用best_candidate
Material,8310028,6040001,电动转辙机安装装置 （50kg/m、9、12号复式交分、AT轨）,电动转辙机安装装置 （50kg/m、9号、12号复式交分、AT轨）,套,套,1=使用best_candidate
Material,8310029,6040153,电动转辙机安装装置 （60kg/m、9、12号复式交分、AT轨）,电动转辙机安装装置 （60kg/m、9号、12号复式交分、AT轨）,套,套,1=使用best_candidate
Material,8310030,6043953,电空转辙机安装装置ZK4,ZK4电空转辙机安装装置,组,组,1=使用best_candidate
Material,8310053,6042433,电液转辙机安装装置 （60kg/m、9、12号、AT轨、1个牵引点）,电液转辙机安装装置 （60kg/m、9号、12号、AT轨、1个牵引点）,套,套,1=使用best_candidate
Material,8310060,6042129,电液转辙机安装装置 （50kg/m、9、12号复式交分、AT轨）,电液转辙机安装装置 （50kg/m、9号、12号复式交分、AT轨）,套,套,1=使用best_candidate
Material,8310061,6042281,电液转辙机安装装置 （60kg/m、9、12号复式交分、AT轨）,电液转辙机安装装置 （60kg/m、9号、12号复式交分、AT轨）,套,套,1=使用best_candidate
Material,8310054,6042585,电液转辙机安装装置 （60kg/m、9、12号、AT轨、2个牵引点）,电液转辙机安装装置 （60kg/m、9号、12号、AT轨、2个牵引点）,套,套,1=使用best_candidate
Material,8711063,6039253,JM-A道岔密贴检查器,JM道岔密贴检查器（中间）,个,个,1=使用best_candidate
Material,8800092,6091473,设备连接管U型或Y型,设备连接管 U形或Y形,个,个,1=使用best_candidate
Material,8320027,6048209,道岔缺口检查报警器,道岔缺口检查报警器（视频）,个,个,1=使用best_candidate
Material,8217038,6056625,扼流适配器 ESP4 非重载普速铁路,扼流适配器 ESP4,台,台,1=使用best_candidate
Material,8519009,6057669,双体防护盒（含基础桩）,双体防护盒（含底座）,套,套,1=使用best_candidate
Material,8751128,6096441,HVU粘结剂,HVU黏结剂,筒,筒,1=使用best_candidate
Material,8221036,6037021,室内继电器名牌,室内继电器铭牌,个,个,1=使用best_candidate
Material,8114010,6022971,道口信号机,道口信号机 铸铁机构,台,台,1=使用best_candidate
Material,8221037,6037057,室内组合名牌,室内组合铭牌,个,个,1=使用best_candidate
Material,8221038,6037093,室内组合排架名牌,室内组合排架铭牌,个,个,1=使用best_candidate
Material,7910211,1159542,环氧酚醛玻璃布板 3240 δ=8,环氧酚醛玻璃布板,kg,kg,1=使用best_candidate
Material,8012054,6015791,信号电缆 PTYA23 (PTYAH23)型 12芯,数字信号电缆SPTYWA23型 12芯,m,m,1=使用best_candidate
Material,8012053,6015761,信号电缆 PTYA23 (PTYAH23)型 9芯,数字信号电缆SPTYWA23型 9芯,m,m,1=使用best_candidate
Material,7910212,1159745,环氧酚醛玻璃布管 3640 Φ50,环氧酚醛玻璃布管,kg,kg,1=使用best_candidate
Material,8113020,6080001,机车信号机车接收线圈,驼峰无线机车信号车载连接线缆（含插接件）,台,根,1=使用best_candidate
Material,8113048,6057417,移频机车信号电源盒 JY·HYT,移频信号区间电源盒 ZP·HYQ-D,台,台,1=使用best_candidate
Material,1960029,1012939,热镀锌扁钢 40×4,热镀锌扁钢,kg,kg,L列指定电算代号
Material,2400215,1016865,铜箔带δ 0.2×20,铜箔带 20×0.2,m,m,1=使用best_candidate
Material,2030004,1014109,镀锌铁板 δ≥0.6,镀锌铁板,kg,kg,1=使用best_candidate
Material,8012084,6016391,信号电缆 PTYL23 (PTYLH23)型 12芯,数字信号电缆SPTYWL23型 12芯,m,m,1=使用best_candidate
Material,8012088,6016511,信号电缆 PTYL23 (PTYLH23)型 21芯,数字信号电缆SPTYWL23型 21芯,m,m,1=使用best_candidate
Material,8012050,6015671,信号电缆 PTYA23 (PTYAH23)型 4芯,数字信号电缆SPTYWA23型 4芯,m,m,1=使用best_candidate
Material,8012051,6015701,信号电缆 PTYA23 (PTYAH23)型 6芯,数字信号电缆SPTYWA23型 6芯,m,m,1=使用best_candidate
Material,8012055,6015821,信号电缆 PTYA23 (PTYAH23)型 14芯,数字信号电缆SPTYWA23型 14芯,m,m,1=使用best_candidate
Material,8012092,6016631,信号电缆 PTYL23 (PTYLH23)型 33芯,数字信号电缆SPTYWL23型 33芯,m,m,1=使用best_candidate
Material,8012513,6017231,信号电缆 PTYL23 (PTYLH23)型 33芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 33芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012505,6016991,信号电缆 PTYL23 (PTYLH23)型 12芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 12芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8010053,6016391,信号电缆PJZL23型 12芯,数字信号电缆SPTYWL23型 12芯,m,m,1=使用best_candidate
Material,8012052,6015731,信号电缆 PTYA23 (PTYAH23)型 8芯,数字信号电缆SPTYWA23型 8芯,m,m,1=使用best_candidate
Material,8012059,6015941,信号电缆 PTYA23 (PTYAH23)型 24芯,数字信号电缆SPTYWA23型 24芯,m,m,1=使用best_candidate
Material,8012086,6010061,信号电缆 PTYL23 (PTYLH23)型 16芯,信号电缆 PTYL23-1 6芯,m,m,1=使用best_candidate
Material,8012511,6017171,信号电缆 PTYL23 (PTYLH23)型 28芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 28芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012514,6017261,信号电缆 PTYL23 (PTYLH23)型 37芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 37芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012063,6016061,信号电缆 PTYA23 (PTYAH23)型 37芯,数字信号电缆SPTYWA23型 37芯,m,m,1=使用best_candidate
Material,8012089,6016541,信号电缆 PTYL23 (PTYLH23)型 24芯,数字信号电缆SPTYWL23型 24芯,m,m,1=使用best_candidate
Material,8012515,6017291,信号电缆 PTYL23 (PTYLH23)型 42芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 42芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012517,6017351,信号电缆 PTYL23 (PTYLH23)型 48芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 48芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012506,6017021,信号电缆 PTYL23 (PTYLH23)型 14芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 14芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012507,6017051,信号电缆 PTYL23 (PTYLH23)型 16芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 16芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012508,6017081,信号电缆 PTYL23 (PTYLH23)型 19芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 19芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012510,6017141,信号电缆 PTYL23 (PTYLH23)型 24芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 24芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012090,6016571,信号电缆 PTYL23 (PTYLH23)型 28芯,数字信号电缆SPTYWL23型 28芯,m,m,1=使用best_candidate
Material,8012091,6016601,信号电缆 PTYL23 (PTYLH23)型 30芯,数字信号电缆SPTYWL23型 30芯,m,m,1=使用best_candidate
Material,8012516,6017321,信号电缆 PTYL23 (PTYLH23)型 44芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 44芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012056,6015851,信号电缆 PTYA23 (PTYAH23)型 16芯,数字信号电缆SPTYWA23型 16芯,m,m,1=使用best_candidate
Material,8012058,6015911,信号电缆 PTYA23 (PTYAH23)型 21芯,数字信号电缆SPTYWA23型 21芯,m,m,1=使用best_candidate
Material,8012060,6015971,信号电缆 PTYA23 (PTYAH23)型 28芯,数字信号电缆SPTYWA23型 28芯,m,m,1=使用best_candidate
Material,8012512,6017201,信号电缆 PTYL23 (PTYLH23)型 30芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 30芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012502,6016901,信号电缆 PTYL23 (PTYLH23)型 6芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 6芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012503,6016931,信号电缆 PTYL23 (PTYLH23)型 8芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 8芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012066,6016151,信号电缆 PTYA23 (PTYAH23)型 48芯,数字信号电缆SPTYWA23型 48芯,m,m,1=使用best_candidate
Material,8012061,6016001,信号电缆 PTYA23 (PTYAH23)型 30芯,数字信号电缆SPTYWA23型 30芯,m,m,1=使用best_candidate
Material,8012062,6016031,信号电缆 PTYA23 (PTYAH23)型 33芯,数字信号电缆SPTYWA23型 33芯,m,m,1=使用best_candidate
Material,8012064,6016091,信号电缆 PTYA23 (PTYAH23)型 42芯,数字信号电缆SPTYWA23型 42芯,m,m,1=使用best_candidate
Material,8012065,6016121,信号电缆 PTYA23 (PTYAH23)型 44芯,数字信号电缆SPTYWA23型 44芯,m,m,1=使用best_candidate
Material,8012057,6015881,信号电缆 PTYA23 (PTYAH23)型 19芯,数字信号电缆SPTYWA23型 19芯,m,m,1=使用best_candidate
Material,8800100,1061651,高强度尼龙螺栓,高强螺栓,套,kg,1=使用best_candidate
Material,8012080,6016271,信号电缆 PTYL23 (PTYLH23)型 4芯,数字信号电缆SPTYWL23型 4芯,m,m,1=使用best_candidate
Material,8012081,6016301,信号电缆 PTYL23 (PTYLH23)型 6芯,数字信号电缆SPTYWL23型 6芯,m,m,1=使用best_candidate
Material,8012082,6016331,信号电缆 PTYL23 (PTYLH23)型 8芯,数字信号电缆SPTYWL23型 8芯,m,m,1=使用best_candidate
Material,8012085,6010031,信号电缆 PTYL23 (PTYLH23)型 14芯,信号电缆 PTYL23-1 4芯,m,m,1=使用best_candidate
Material,8012509,6017111,信号电缆 PTYL23 (PTYLH23)型 21芯(低烟无卤阻燃型),数字信号电缆SPTYWL23型 21芯(低烟无卤阻燃型),m,m,1=使用best_candidate
Material,8012083,6016361,信号电缆 PTYL23 (PTYLH23)型 9芯,数字信号电缆SPTYWL23型 9芯,m,m,1=使用best_candidate
Material,8012087,6010121,信号电缆 PTYL23 (PTYLH23)型 19芯,信号电缆 PTYL23-1 9芯,m,m,1=使用best_candidate
Material,8214021,6030685,整流式缓放继电器 JZXC-H18,整流式继电器 JZXC-480,台,台,1=使用best_candidate
Material,8214028,6030613,继电器 JPXC-H270,继电器 JWXC-H340,台,台,1=使用best_candidate
Material,1240015,1086761,碎石 63以内,碎石 ≤63 (圬工用),m3,m3,1=使用best_candidate
Material,1260131,1094071,粉煤灰(非混凝土工程),粉煤灰Ⅲ级,t,t,L列指定电算代号
Machine,9100431,9105404,稳定土拌合机 ≤120kW,泥浆搅拌机 ≤2200L,台班,台班,L列指定电算代号
Material,1240119,1087593,级配砾石 40以内,级配砾石 ≤40,m3,m3,1=使用best_candidate
