kind,old_code,new_code,name,source_unit,target_unit
Material,5427614,8062881,单腕臂底座及槽钢 H形钢柱,套,件
Material,5901207,8067033,平腕臂 L=1700 PL70×6,套,件
Material,5901213,8067081,平腕臂 L=2300 PL70×6,套,件
Material,5901214,8067089,平腕臂 L=2400 PL70×6,套,件
Material,5901218,8067121,平腕臂 L=2800 PL70×6,套,件
Material,5901219,8067129,平腕臂 L=2900 PL70×6,套,件
Material,5901224,8067169,平腕臂 L=3400 PL70×6,套,件
Material,5901460,8068065,斜腕臂 L=2000 XL70×6,套,件
Material,5901464,8068097,斜腕臂 L=2400 XL70×6,套,件
Material,5901468,8068129,斜腕臂 L=2800 XL70×6,套,件
Material,5901473,8068169,斜腕臂 L=3300 XL70×6,套,件
Material,5901523,8063177,套管座 A,套,件
Material,5901549,8063249,承力索座 LA,套,件
Material,5901682,8063129,套管单耳 L55,套,件
Material,5901683,8063137,套管单耳 L70,套,件
Material,5901692,8063145,套筒双耳 L42,套,件
Material,5903164,8063801,定位环 L42～55,套,件
Material,5903170,8065953,旋转双耳,套,个
Material,5903192,8065929,吊线固定钩 42,套,个
Material,5903458,8064073,定位管 L=1800 L55×6,套,件
Material,5903467,8064145,定位管 L=2800 L55×6,套,件
Material,5903468,8064153,定位管 L=2900 L55×6,套,件
Material,5903469,8064161,定位管 L=3000 L55×6,套,件
Material,5903653,8063417,支撑 L=300 L42×5,套,件
Material,5903658,8063457,支撑 L=800 L42×5,套,件
Material,5903660,8063473,支撑 L=1000 L42×5,套,件
Material,5903664,8063505,支撑 L=1400 L42×5,套,件
Material,5901206,8067025,平腕臂 L=1600 PL70×6,套,件
Material,5901210,8067057,平腕臂 L=2000 PL70×6,套,件
Material,5901211,8067065,平腕臂 L=2100 PL70×6,套,件
Material,5901212,8067073,平腕臂 L=2200 PL70×6,套,件
Material,5901215,8067097,平腕臂 L=2500 PL70×6,套,件
Material,5901216,8067105,平腕臂 L=2600 PL70×6,套,件
Material,5901223,8067161,平腕臂 L=3300 PL70×6,套,件
Material,5901457,8068041,斜腕臂 L=1700 XL70×6,套,件
Material,5901458,8068049,斜腕臂 L=1800 XL70×6,套,件
Material,5901459,8068057,斜腕臂 L=1900 XL70×6,套,件
Material,5901462,8068081,斜腕臂 L=2200 XL70×6,套,件
Material,5901465,8068105,斜腕臂 L=2500 XL70×6,套,件
Material,5901466,8068113,斜腕臂 L=2600 XL70×6,套,件
Material,5901467,8068121,斜腕臂 L=2700 XL70×6,套,件
Material,5901472,8068161,斜腕臂 L=3200 XL70×6,套,件
Material,5903461,8064097,定位管 L=2100 L55×6,套,件
Material,5903656,8063441,支撑 L=600 L42×5,套,件
Material,5903657,8063449,支撑 L=700 L42×5,套,件
Material,5903659,8063465,支撑 L=900 L42×5,套,件
Material,5903661,8063481,支撑 L=1100 L42×5,套,件
Material,5904112,8064369,锚支定位卡子 L55,套,件
Material,5901209,8067049,平腕臂 L=1900 PL70×6,套,件
Material,5901217,8067113,平腕臂 L=2700 PL70×6,套,件
Material,5901221,8067145,平腕臂 L=3100 PL70×6,套,件
Material,5901228,8067201,平腕臂 L=3800 PL70×6,套,件
Material,5901463,8068089,斜腕臂 L=2300 XL70×6,套,件
Material,5901469,8068137,斜腕臂 L=2900 XL70×6,套,件
Material,5901470,8068145,斜腕臂 L=3000 XL70×6,套,件
Material,5901471,8068153,斜腕臂 L=3100 XL70×6,套,件
Material,5901477,8068201,斜腕臂 L=3700 XL70×6,套,件
Material,5903459,8064081,定位管 L=1900 L55×6,套,件
Material,5903462,8064105,定位管 L=2200 L55×6,套,件
Material,5903465,8064129,定位管 L=2600 L55×6,套,件
Material,5903466,8064137,定位管 L=2700 L55×6,套,件
Material,5903654,8063425,支撑 L=400 L42×5,套,件
Material,5903662,8063489,支撑 L=1200 L42×5,套,件
Material,5905014,8065009,锥套型接触线终端锚固线夹 150,套,件
Material,5905023,8065025,锥套型承力索终端锚固线夹 120,套,件
Material,5903463,8064113,定位管 L=2400 L55×6,套,件
Material,5903478,8064217,定位管 L=3800 L55×6,套,件
Material,5903655,8063433,支撑 L=500 L42×5,套,件
Material,5903663,8063497,支撑 L=1300 L42×5,套,件
Material,5903666,8063513,支撑 L=1600 L42×5,套,件
Material,5901208,8067041,平腕臂 L=1800 PL70×6,套,件
Material,5901461,8068073,斜腕臂 L=2100 XL70×6,套,件
Material,5901220,8067137,平腕臂 L=3000 PL70×6,套,件
Material,5901222,8067153,平腕臂 L=3200 PL70×6,套,件
Material,5901227,8067193,平腕臂 L=3700 PL70×6,套,件
Material,5901474,8068177,斜腕臂 L=3400 XL70×6,套,件
Material,5901475,8068185,斜腕臂 L=3500 XL70×6,套,件
Material,5903471,8064177,定位管 L=3200 L55×6,套,件
Material,5901226,8067185,平腕臂 L=3600 PL70×6,套,件
Material,5722073,8037316,合成绝缘子 FQX-25/160,套,个
Material,5437835,8060241,水平悬挂底座,套,件
Material,5921131,8062457,隧道内悬吊滑轮支架 36,套,件
Material,5921141,8062497,隧道内悬吊滑轮 T8,套,件
Material,5921211,8061993,杵环杆 L=140,套,件
Material,5922011,8064961,可调整底座 A,套,件
Material,5922251,8064489,隧内非限位型定位装置 F800,套,件
Material,5903262,8063897,定位管 L=1200 G48×3.5,套,件
Material,5921134,8062481,隧道内悬吊滑轮支架 55,套,件
Material,5922253,8064505,隧内非限位型定位装置 F1200,套,件
Material,5922022,8068329,弓形腕臂 R≥1800m及缓曲 G2,套,件
Material,5922261,8064513,隧内限位定位器 XG800,套,件
