kind,old_code,new_code,name,unit,base_price
Material,5322041,1009090692,架构钢柱、横梁及支架等 Q345,t,6086.36
Material,1410010,1009090693,预应力混凝土电杆 Φ190×13000,根,1253.58
Machine,9105304,2009000095,单级离心清水泵 ≤25m3/h-20m,台班,78.44
Machine,9108631,2009000096,鼓风机 ≤18m3/min,台班,26
Material,1820704,1009090694,橡胶石棉盘根 Φ6～10,kg,21.61
Material,2368126,1009090695,人孔盖 常压 DN600,个,367.1
Material,2368610,1009090696,罐壁人孔 Pg25 DN600,个,806.71
Machine,9100803,2009000097,轴流通风机 ≤28kW-390m3/min,台班,149.49
Material,1600867,1009090697,中碱无捻玻璃纤维布 0.5×900,m2,1.26
Material,2220017,1009090698,焊接钢管  DN10×2.25,m,3.68
Material,2220032,1009090699,焊接钢管  DN80×4,m,24.6
Material,3360023,1009090700,聚氯乙烯软管 d32×3.5,m,4.84
Material,4710019,1009090701,铝芯橡皮线 BLX 500V 185mm2,m,15.62
Material,2220019,1009090702,焊接钢管  DN20×2.75,m,4.81
Material,2220037,1009090703,焊接钢管  DN125×4.5,m,44.37
Material,2220021,1009090704,焊接钢管  DN25×3.25,m,7.14
Material,2340907,1009090705,制动软管联接器件,个,13.53
Material,2220018,1009090706,焊接钢管  DN15×2.75,m,3.68
Material,1240013,1009090707,碎石 31.5以内,m3,36.86
Material,8221040,1009090708,室外箱盒端子配线名牌,个,1.29
Material,8221041,1009090709,电缆去向名牌,个,0.6
Material,2240001,1009090710,镀锌焊接钢管  DN15×2.75,m,4.81
Material,1240009,1009090711,碎石 20以内,m3,38.8
Material,4715010,1009090712,铜芯塑料线 BV 500V 0.5mm2,m,0.31
Machine,9102611,2009000098,单筒慢速卷扬机 ≤10kN,台班,87.81
Material,4732651,1009090713,电力电缆 WDZN-YJY23 0.6/1kV  5×6mm2,m,26.06
Machine,9109331,2009000099,逻辑分析仪 100MHz.80通道,台班,6.21
Material,1240016,1009090714,碎石 80以内,m3,32.01
Material,3420011,1009090715,青麻(白麻·片麻),kg,10.29
Material,1240025,1009090716,碎石 40以内(高性能混凝土),m3,39.77
Machine,9101101,2009000100,内燃空气压缩机 ≤6m3/min,台班,332.8
Material,2547322,1009090717,钢制防护栅栏网片,m2,32.44
Material,2547210,1009090718,镀锌铁丝网 10×10×0.9,m2,11.53
Machine,9102632,2009000101,双筒慢速卷扬机 ≤30kN,台班,127.79
Machine,9105308,2009000102,单级离心清水泵 ≤60m3/h-50m,台班,106.83
Machine,9108634,2009000103,鼓风机 ≤8m3/min,台班,8.56
Material,2300015,1009090719,铸铁承插直管 DN200×5000,m,127.56
Material,4020112,1009090720,尼龙砂轮片 Φ100×16×3,片,8.51
Material,2300016,1009090721,铸铁承插直管 DN250×5000,m,173.16
Material,3320012,1009090722,橡胶圈 配DN100,个,3.9
Material,3320014,1009090723,橡胶圈 配DN150,个,5.23
Material,3320016,1009090724,橡胶圈 配DN200,个,7.17
Material,3320019,1009090725,橡胶圈 配DN250,个,8.49
Material,3320020,1009090726,橡胶圈 配DN300,个,10.44
Material,3320022,1009090727,橡胶圈 配DN350,个,13.05
Material,3320023,1009090728,橡胶圈 配DN400,个,15.67
Material,3320024,1009090729,橡胶圈 配DN450,个,16.96
Material,3320025,1009090730,橡胶圈 配DN500,个,19.69
Material,3320026,1009090731,橡胶圈 配DN600,个,24.8
Material,3320027,1009090732,橡胶圈 配DN700,个,37.58
Material,3320028,1009090733,橡胶圈 配DN800,个,42.95
Material,3320029,1009090734,橡胶圈 配DN900,个,48.32
Material,3320030,1009090735,橡胶圈 配DN1000,个,53.69
Material,3320031,1009090736,橡胶圈配DN1200,个,72.88
Material,3373505,1009090737,聚乙烯电熔套筒    de50,个,19.19
Material,3373551,1009090738,聚乙烯电熔套筒 0.6MPa   de110,个,56.59
Material,3373552,1009090739,聚乙烯电熔套筒 0.6MPa   de160,个,87.06
Material,3373553,1009090740,聚乙烯电熔套筒 0.6MPa   de200,个,159.61
Material,3373554,1009090741,聚乙烯电熔套筒 0.6MPa   de250,个,253.94
Material,3373555,1009090742,聚乙烯电熔套筒 0.6MPa   de315,个,471.59
Material,3373556,1009090743,聚乙烯电熔套筒 0.6MPa   de355,个,594.95
Material,3373557,1009090744,聚乙烯电熔套筒 0.6MPa   de400,个,725.53
Material,1710004,1009090745,石油沥青油纸 350号,卷,56.59
Machine,9105612,2009000104,人工挖土法顶管设备 d≤1650,台班,98.77
Material,2220044,1009090746,焊接钢管  DN350×6.5,m,161.91
Material,2240009,1009090747,镀锌焊接钢管  DN40×3.5,m,14.79
Material,2348510,1009090748,镀锌可锻铸铁丝堵 DN15～25,个,0.45
Material,2300101,1009090749,铸铁单盘直管 DN100×3000,m,66.49
Material,2348211,1009090750,可锻铸铁丝堵 DN25～32,个,0.74
Machine,9100523,2009000105,履带式装载机 ≤2m3,台班,563.02
Material,1820702,1009090751,油浸石棉盘根 Φ6～20,kg,18.3
Material,3913010,1009090752,垫片 Φ16/8,个,0.32
Material,3372154,1009090753,聚乙烯给水管（PE）de50,m,9.91
Material,3373105,1009090754,聚乙烯给水管件  de50,个,7.25
Material,3372155,1009090755,聚乙烯给水管（PE）de63,m,12.8
Material,3373106,1009090756,聚乙烯给水管件  de63,个,13.06
Material,3320220,1009090757,钢筋混凝土管接口橡胶圈 配d300,个,12.36
Machine,9102633,2009000106,双筒慢速卷扬机 ≤50kN,台班,144.5
Material,3320221,1009090758,钢筋混凝土管接口橡胶圈 配d400,个,15.81
Material,3320222,1009090759,钢筋混凝土管接口橡胶圈 配d500,个,20.75
Material,3320223,1009090760,钢筋混凝土管接口橡胶圈 配d600,个,24.27
Material,3320224,1009090761,钢筋混凝土管接口橡胶圈 配d700,个,26.98
Material,3320225,1009090762,钢筋混凝土管接口橡胶圈 配d800,个,26.98
Material,3320226,1009090763,钢筋混凝土管接口橡胶圈 配d900,个,27.61
Material,3320227,1009090764,钢筋混凝土管接口橡胶圈 配d1000,个,27.61
Material,3320228,1009090765,钢筋混凝土管接口橡胶圈 配d1100,个,29.33
Material,3320229,1009090766,钢筋混凝土管接口橡胶圈 配d1200,个,29.33
Material,3320230,1009090767,钢筋混凝土管接口橡胶圈 配d1400,个,35.21
Material,3320231,1009090768,钢筋混凝土管接口橡胶圈 配d1600,个,41.23
Material,3320232,1009090769,钢筋混凝土管接口橡胶圈 配d1800,个,41.23
Material,3320233,1009090770,钢筋混凝土管接口橡胶圈 配d2000,个,45.82
Material,3320125,1009090771,橡胶圈 配聚氯乙烯双壁波纹管 D225,个,11.18
